26870816_1	newly generated mir-23a destabilizes keap1 mrna by binding to its 3'utr.
18953042_1	data clearly show that the 5'terminal region of omra b interacts in vivo with the tir of cira mrna and that a relatively short pairing region of no more than 9 nt is sufficient for the regulation, at least when omra b are overexpressed.
23449803_1	gene expression profiling of huh-7.5 cells showed that mir-27a regulates lipid metabolism by targeting the lipid synthetic transcription factor rxralpha and the lipid transporter atp-binding cassette subfamily a member 1. interestingly, the expression of mir-27a was upregulated by hcv infection and lipid overload through the adipocyte differentiation transcription factor c ebpalpha. in turn, upregulated mir-27a repressed hcv infection and lipid storage in cells.
26202084_1	the target of mir-135a and the protein expression of klf4 and stat4.
19506341_2	through bioinformatics, we identified the potential target sites for mir-1 on the 3'utr of bcl-2.
19506341_3	mir-1 significantly reduced the expression of bcl-2 in the levels of mrna and protein.
19506341_5	these data demonstrated that mir-1 plays an important role in the regulation of cardiomyocyte apoptosis, which is involved in post-transcriptional repression of bcl-2.
25694126_1	thermo-chemotherapy induced invasion suppression through mir-218 and its downstream target gli2.
25694126_2	in vitro experiments were further carried out to obtain evidence of gli2 as a target of mir-218.
20176475_1	bioinformatics, gene and protein expression analysis in eight gastric cell lines identified mir-130b as the top candidate mirna for runx3 binding.
20176475_2	overexpression of mir-130b increased cell viability, reduced cell death and decreased expression of bim in tgf-beta mediated apoptosis, subsequent to the downregulation of runx3 protein expression.
26512777_1	we observed no repression in luciferase activity after mutating or deleting the binding site ,1e, suggesting that mir-22 directly interacts with the tip60 3'utr and targets tip60.
26512777_2	these data indicate that mir-22 down-regulates endogenous tip60 expression.
26512777_3	these findings suggest that repression of tip60 by mir-22 increases cell migration and this can be reverted by ablating activity of mir-22 or through the overexpression of a tip60 that lacks mir-22 binding site.
26512777_4	thus, mir-22 stimulates cell migration by targeting tip60.
26512777_5	these results suggest that mir-22 targets tip60 leading to an increase in cell migration and invasion of breast cancer cells thereby promoting metastasis.
22891274_1	collectively, these results demonstrate traf6 and irak1 to be bona fide targets of mir-146a in primary mouse cd4 + and cd8 + t cells.
22891274_2	these results suggest that mir-146a regulation of t cell activation is likely mediated through its combinatorial modulation of multiple targets including traf6 and irak1.
22891274_3	notably, in contrast to traf6 and irak1, analysis of other signaling components mediating tcr signaling to nf-kb including the cbm complex showed no obvious difference in their steady-state expression levels between mir-146a and wt t cells , suggesting that traf6 and irak1 are likely to be the major targets of mir-146a modulating tcr signaling to nf-kb.
26657152_1	here we show that expression of a member of the forkhead family of transcription factors, foxo3, is regulated by the foxo3 pseudogene , and foxo3 circular rna, both of which bind to eight mirnas.
26657152_2	in this study, we found that the transcripts of foxo3 mrna, foxo3p and foxo3 circular rna were all targets of mir-22, mir-136*, mir-138, mir-149*, mir-433, mir-762, mir-3614-5p and mir-3622b-5p.
26180082_1	mir-129-3p and mir-29b-1 downregulate cdk6 by potentially targeting its 3'utr.
26180082_2	these results further demonstrated that mir-29b-1 and mir-129-3p potentially target the 3'utr of cdk7 in glioblastoma cells.
23385085_1	through in vivo sensor assay and in vitro luciferaseassay,we found that mir-960 directly binds to the 3 'utrsof smo, cos2 and fu mrnas to block their translation.
23385085_2	we confirmed the binding of mir-960 to the 3'-utrs of smo, cos2 and fu by gfp sensor assay and dual luciferase assay.
23385085_3	however, when mir-960 was induced in the dpp domain, egfp expression decreased in all three sensor lines at the a p boundary , confirming that mir-960 can suppress smo, cos2 and fu by directly binding to their 3'-utrs.
23385085_4	these results again confirmed that mir-960 can suppress hh signaling by directly binding to the 3'-utrs of smo, cos2 and fu.
21929751_1	taken together, these data strongly suggest that notch-1 is a downstream target of mir-144 mirna and that dcamkl-1 regulates posttranscriptional control of notch-1.
21929751_2	figure 4 knockdown of dcamkl-1 and treatment with dapt downregulates notch-1 via mir-144.
22766851_1	mir-218 reverses high invasiveness of glioblastoma cells by targeting the oncogenic transcription factor lef1. targetprediction databases and luciferase data showed that lef1 is a new direct target of mir-218.
22766851_2	importantly, western blot assays demonstrated that mir-218 can reduce protein levels of lef1 and mmp-9.
22766851_3	results suggest that mir-218 is involved in the invasive behavior of gbm cells and by targeting lef1 and blocking the invasive axis, mir-218-lef1-mmps, it may be useful for developing potential clinical strategies.
22766851_4	this experiment demonstrated that lef1 is a direct target of mir-218.
22766851_5	a luciferase reporter assay further confirmed the direct interaction between mir-218 and the 3'utr of lef1 mrna .
22766851_6	these data suggest that mir-218 plays a critical role in gbm cell invasion by directly targeting and downregulating lef1, thereby decreasing mmp-9 expression, but not through timp-1.
23472141_1	mir-133a and -204 211 are known to target the master osteogenic transcription factor runx2. further assays suggest that sost, which encodes the wnt signaling antagonist sclerostin, and alkaline phosphatase are two additional targets of mir-204 211.
23472141_2	mir-141 200a has been known to target the transcription factor dlx5. since mir-141 200a has been known as dlx5-targeting mirnas , these findings also imply that osx may negatively regulate dlx5 protein synthesis via, at least in part, up-regulation of mir-141 200a.
23472141_3	however, the role of mir-192 and mir-1194 in osteogenesis is yet to be known.
23472141_4	since mir-133a and -204 211 are known as runx2-targeting mirnas , , these observations also imply that osx may modulate the cellular level of runx2 protein via in part down-regulation of mir-133a and -204 211.
26824419_1	collectively, these suggest that mir-300 directly represses vegf-c protein expression via binding to the 3'utr of the human vegf-c gene via ilk and akt signaling.
26824419_2	in addition, we found that mir-300 directly represses vegf-c protein expression through binding to the 3'utr of the human vegf-c gene, thereby negatively regulating vegf-c-mediated lymphangiogenesis.
26824419_3	figure 5: mir-300 directly represses vegf-c expression via binding to the 3'utr of human vegf-c.
23383180_1	mir-24 targets pro-apoptotic proteins bim and caspase 9 in hematopoietic cells.
23383180_2	figure 3 mir-24 decreases the levels of pro-apoptotic proteins bim and caspase 9.
17179747_1	reporter activity, normalized to activity of the coexpressed firefly luciferase , was tested in transfected huh7 and hepg2 cells . in hepg2 cells,all three reporters were translated with comparable efficiency, but in huh7 cells the activity of the reporter devoid of the mir-122 sites, rl-catc, was approximately 3-fold higher than that of reporters containing mir-122 sites.
17179747_3	furthermore, during mouse liver development cat-1 mrna decreases in an almost inverse correlation with mir-122.
17179747_4	eight potential mir-122 targetsites were predicted within the human cat-1 mrna, with six in the 3'-untranslated region.
17179747_6	in summary, these studies followed the accumulation during development of mir-122 from its mrna precursor, hcr, through to identification of what may be a specific mrna target cat-1.
21328460_1	a conserved targetsite for mir-21 within the cdk2ap1-3'utr at nt 349-370 was predicted by bioinformatics software and an inverse correlation of mir-21 and cdk2ap1 protein was observed.
21328460_2	here was no significant association with mir-21 and cdk2ap1 mrna, and the fold differences in cdk2ap1 mrna were less than that in cdk2ap1 protein.
21328460_3	these primary data suggest that mir-21 might downregulate cdk2ap1 expression at the post-transcriptional level.
21328460_5	these data suggest that mir-21 specifically downregulates cdk2ap1 at the post-transcriptional level, and that mir-21 positively regulates proliferation of hacat cells in vitro.
22929050_1	we found that mir375 inhibited autophagosome formation, as indicated by the decreased number of green fluorescent protein -lc3 puncta. in addition, both lc3-i and lc3-ii detection and bafilomycin a1 assays supported that mir375 blocked the conversion of lc3-i to lc3-ii, which is required for the elongation of the phagopore and in turn, the formation of the autophagosome.
26607349_2	4b, bak and caspase-3 mrna levels were reduced by mir-125a b mimics and increased by mir-125a b inhibitors. in parallel, bak and caspase-3 protein levels were both directly regulated by mir-125a b .
26607349_3	these results suggest that bak and caspase-3 genes are directly targeted by mir-125a b.
20665731_1	in this study, we focused on mir-29b and mir-125a, which were predicted to regulate pdpn, and demonstrated that these micrornas directly targetthe 3' untranslated region of pdpn and inhibit invasion, apoptosis, and proliferation of glioblastomas.
20665731_2	mutation of mir-29b and mir-125a interaction sites rescued the luciferase activity, thus confirming the direct interaction with pdpn 3'utr by these micrornas.
20665731_3	these results suggest that mir-29b and mir-125a directly regulate podoplanin expression in glioblastoma cells.
20665731_4	therefore the effects on invasion by restoration of mir-29b and mir-125a are similar with the effects by downregulation of the proved direct pdpn target
24892549_1	we identified yap1 as a direct mir-375 target in crc and show that hells and nolc1 are down-stream targets.
24892549_2	knock-down of yap1 mimicked the phenotype induced by mir-375 over-expression indicating that mir-375 most likely exerts its pro-apoptotic role through yap1 and its anti-apoptotic down-stream targets birc5 and bcl2l1.
20610624_1	here, we report that mir-96 directly target the kras oncogene and functions as a tumor-suppressing mirna in pancreatic cancer cells.
20610624_2	these data suggest that mir-96 directly recognizes the 3'utr of kras mrna and inhibits kras translation.
20610624_4	these results suggest that mir-96 could regulate cell proliferation by targeting kras.
24872388_1	mechanistic investigations revealed that oridonin upregulated bim-s by diminishing the expression of mir-17 and mir-20a, leading to mitochondria-dependent apoptosis.
20857258_1	among them, knockdown of mirna-19a by anti-mirna-19a transfection showed a positive therapeutic effect in bladder cancer cells by inhibiting cell growth and inducing cell apoptosis targeting pten through the pten akt pathway.
8968746_1	h19 and tnnt3 in different adult skeletal muscle types express parallelly, and these genes may share an enhancer.
23691514_1	overexpression of mir-124 suppressed iaspp protein expression, upregulated expression of the downstream signaling molecule nuclear factor-kappa b , and attenuated cell viability, proliferation, and colony formation in sw480 and ht-29 colorectal cancer cells in vitro.
20081105_1	furthermore, overexpression of the putative tumor suppressor mir-22 repressed the evi1 oncogene, which is known to suppress apoptosis by stimulating phosphatidylinositol 3-kinase v-akt murine thymoma viral oncogene homolog 1 signaling.
26583674_2	inhibition of mir-494 led to a significant upregulation of the chemokine receptor cxcr4 in both endothelial cells and smooth muscle cells.
26583674_4	inhibition of mir-494 also led to an upregulation of acvr1 in macrophages and of timp3 in macrophages and mast cells.
26583674_5	moreover, we observed upregulation of the selected target genes timp3, il33, and tgfb2 in the carotid arteries of mice treated with gso-494 .
23166713_1	taken together, these findings demonstrate that mir-361-5p affects the levels of secreted vegfa, further suggesting that the mirna is able to repress endogenous vegfa expression in vitro. in summary, we found that out of a panel of six mirnas targeting vegfa, only mir-361-5p levels were decreased in scc expressing high levels of vegfa, indicating that mir-361-5p dysregulation could contribute to the observed elevated vegfa levels in scc.
21816899_1	these reporter vectors carrying mutations in the target sites were insensitive to the effect of mir-1, mir-28-a, and mir-296-3p, proving that the modification of the target sites of creb1 3'utr is able to block the function of these mirna .
25536034_1	furthermore, bioinformatic prediction and experimental validation revealed that the anti-tumor effect of mir-503 was probably exerted through targeting and repressing of l1cam expression.
25536034_2	l1cam was up-regulated in osteosarcoma cell lines and primary tumor samples and the expression level of l1cam were negatively correlated with mir-503 levels in osteosarcoma tissues.
25536034_3	enforced expression of mir-503 remarkably reduced the luciferase activity of the reporter gene with the wild-type construct but not with the mutant l1cam3'utr construct, indicating mir-503 directly targeted the l1cam 3'utr.
26294080_2	these findings indicate that dicer-1 was a direct target of mir-107.
22710123_2	additionally, mir-21 also promoted dendritic cell apoptosis by targeting bcl-2.
22710123_3	mir-21 promoted apoptosis of dcs by targeting bcl-2.
22710123_4	overall, mir-21 was negatively correlated with il-12p35 mrna expression , suggesting post-transcriptional regulation of il12p35 by mir-21.
22710123_6	as shown in fig.6c, mir-21 mimics suppressed bcl-2 mrna and protein expression in bcg-infected bmdcs, while the mir-21 inhibitor showed the opposite effect, revealing an inverse correlation between bcl2 and mir-21 expression.
20371610_1	further, we identified foxo3a as a direct target of mir-155.
20371610_2	sustained overexpression of mir-155 resulted in repression of foxo3a protein without changing mrna levels, and knockdown of mir-155 increases foxo3a. in conclusion, our study reveals a molecular link between mir-155 and foxo3a and presents evidence that mir-155 is a critical therapeutic targetin breast cancer.
20371610_3	foxo3a is negatively regulated by mir-155.
20371610_4	these data indicate that mir-155 directly target foxo3a 3'utr at the mir-155-foxo3a response element to repress foxo3a protein expression.
20864407_1	these include mir- 125a and mir-125b, shown to directly regulate erbb2 in breast cancer cells but not in prostate cancer cells , mir-205, which regulates erbb3 expression in breast cancer cells , and mir-331-3p which directly regulates erbb2 by virtue of its specific binding to two separate targetsites .
25266720_1	here, we show that tumor suppressor mir-125a directly binds to the 3'utr of esrra and represses its expression.
19398468_1	this downregulation of mir-133 and mir-590 partly accounts for the upregulation of tgf-beta1 and tgf-betarii, because our data established tgf-beta1 and tgf-betarii as target for mir-133 and mir-590 repression.
19398468_2	we subsequently evaluated the ability of mir-133 to repress tgf--beta1 expression and of mir-590 to repress tgf--betarii expression.
23226300_1	moreover, luciferase assay confirmed the direct regulation of mir-1 on protein kinase c epsilon and heat shock protein 60 .
23226300_2	these results indicate that pkcepsilon and hsp60 are direct targets of mir-1. in this study, we experimentally established pkcepsilon and hsp60 as targets of mir-1 in mice, which is in line with the detrimental role of mir-1 in the heart.
22194605_1	moreover, mir-29a can inhibit epididymal cell proliferation by targeting nasp in vitro.
22194605_2	mir-29a may inhibit epididymal epithelial cell proliferation during postnatal epididymal development by targeting nasp.
25483041_1	therefore, we further examined whether the alteration in mir-663 expression indeed had an effect on the expression of tgfb1.
25483041_2	as shown in figures 4a and b, overexpression of mir-663 led to suppression of tgfb1 at both mrna and protein levels.
25483041_4	furthermore, overexpression of mir-663 in hela cells markedly abolished the induction of tgf--beta1 with 4 gy irradiation .
25483041_5	moreover, though addition of tgf--beta1 as well as transfection of mir-663 inhibitors reduced cell survival rate, the combination of mir-663 inhibitor transfection and tgf--beta1 neutralizing antibody treatment led to a cell survival fraction that was comparable to that of the non-treated control , suggesting an interplay exists between mir-663 and tgf--beta1.
21430074_1	the mir-101 levels showed an inverse correlation with cox-2 protein expression in all 5 cell lines .
21430074_2	cox-2 as a direct target for mir-101 regulation was determined by using a luciferase reporter assay.
21430074_3	the results indicate that mir-101 does not affect cox-2 mrna transcription.
21430074_4	these data suggest that mir-101 suppresses cox-2 protein expression by directly binding to the 3'utr of cox-2 mrna.
21430074_5	interestingly, the inhibitory function of mir-101 on cox-2 expression can be reversed by introduction of the 3'utr fragment of cox-2 .
21430074_6	cox-2 protein levels were significantly lower in bph1cmir101 cells than in bph1cvec cells; however, the protein level of cox-2 in bph1cmir101 cells was significantly recovered by introducing 3'utr of cox-2 fragments . in conclusion, mir-101 negatively regulates cox-2 protein expression by specifically binding to the 3'utr of the cox-2 mrna region.
21743493_1	in particular, we demonstrate that satb1 is not only a direct target of foxp3 repression, but that foxp3 also induces two mirs, mir-7 and mir-155, which specifically target the 3'utr of satb1 to further regulate its expression.
21743493_2	we observed similar mir-7 and mir-155 downregulation of satb1 3'utr reporter construct activity in mda-mb-231 cells, a second breast cancer line known to express high levels of satb1 .
21743493_3	these observations suggest that the satb1 3' -utr contains functional binding sites for mir-7 and mir-155, and together the level of these two mirs contribute to the overall level of satb1 within the cell.
21743493_4	together, these findings suggest that foxp3 acts to negatively regulate satb1 levels both directly, through repression of satb1 transcription, and indirectly through the induction of mir-7 and mir-155 that then target the 3'utr of the satb1 mrna.
18399940_1	the identifiction of the ompx regulator was by systematically inactivation the salmonella homologues of conserved e. coli enterobacteria srna genes, and compared the ompx levels of the resulting mutants with those of wild-type and hfq mutated salmonella.
18399940_2	only cyar was pursued as the candidate srna responsible for negative regulation of ompx synthesis.then,
23108868_1	upregulationof dnmt1 as a result of mir-152 downregulation has been observed during hcc development.
23108868_2	mir-152 may participate in hbv-induced epigenetic modifications through dnmt1.
26812313_1	here, we validated scd-1 as the target of mir-125b using a dual luciferase assay.
26812313_2	this study indicated that mir-125b regulates lipogenesis by targeting scd-1; therefore, mir-125b might be applied in therapy of lipid metabolism disorders.
26812313_3	herein, we showed that mir-125b could inhibit scd-1 expression by targeting the 3- -untranslated region of its mrna, thus affecting lipogenesis and fat composition of porcine adipocytes.
26812313_4	thus, scd-1 was confirmed as the target of mir-125b.
26812313_5	our luciferase assay results showed significantly decreased luciferase activity of pgl3-scd-1 3'utr versus control, with no changes of pgl3-scd-1 3'utr-mut and pgl3-scd-1 3'utr-del, which proved that mir-125b may act on scd-1 by targeting seed sequence in the 3'utr.
20089965_2	recent studies identified microrna-34a as a major downstream target of p53.
21867514_1	cdyl and rcor3 are also target of mir-141-200c cluster.
21867514_2	interestingly, several essential components of the ctbp zeb complex, namely zeb1 2, ctbp2, rcor3 and cdyl , are predicted target of the mir-141-200c cluster.
21867514_3	ctbp2 has one mir-141 targetsite and one mir-200c targetsite, while zeb1 and cdyl have two mir-200c targetsites.
21867514_4	rcor3 has one mir-141 targetsite.
